,period,period_time,event,team,description,player_one,player_two,event_type,x_cord,y_cord,empty_net,pit_score,sjs_score,shot_attempt
25,1,4:32,giveaway,Pittsburgh Penguins,Giveaway by Kris Letang,Kris Letang,NA,NA,37,-33,NA,0,0,0
26,1,4:42,blocked_shot,San Jose Sharks,Marc-Edouard Vlasic blocked shot from Conor Sheary,Conor Sheary,Marc-Edouard Vlasic,NA,77,8,NA,0,0,1
27,1,4:50,hit,San Jose Sharks,Joonas Donskoi hit Kris Letang,Joonas Donskoi,Kris Letang,NA,87,40,NA,0,0,0
28,1,4:57,blocked_shot,San Jose Sharks,Joe Pavelski blocked shot from Brian Dumoulin,Brian Dumoulin,Joe Pavelski,NA,44,-24,NA,0,0,1
29,1,5:08,hit,San Jose Sharks,Joe Pavelski hit Brian Dumoulin,Joe Pavelski,Brian Dumoulin,NA,45,-39,NA,0,0,0
30,1,5:31,giveaway,Pittsburgh Penguins,Giveaway by Sidney Crosby,Sidney Crosby,NA,NA,65,-5,NA,0,0,0
31,1,5:38,shot,Pittsburgh Penguins,Evgeni Malkin Slap Shot saved by Martin Jones,Evgeni Malkin,NA,slap_shot,60,-21,NA,0,0,1
32,1,5:39,stoppage,NA,Goalie Stopped,NA,NA,NA,NA,NA,NA,0,0,0
33,1,5:39,faceoff,Pittsburgh Penguins,Evgeni Malkin faceoff won against Logan Couture,Evgeni Malkin,Logan Couture,NA,69,-22,NA,0,0,0
34,1,6:01,missed_shot,Pittsburgh Penguins,Kris Letang - Wide of Net,Kris Letang,NA,NA,43,-24,NA,0,0,1
35,1,6:08,giveaway,Pittsburgh Penguins,Giveaway by Evgeni Malkin,Evgeni Malkin,NA,NA,11,39,NA,0,0,0
36,1,6:08,stoppage,NA,Offside,NA,NA,NA,NA,NA,NA,0,0,0
37,1,6:08,faceoff,San Jose Sharks,Chris Tierney faceoff won against Nick Bonino,Chris Tierney,Nick Bonino,NA,20,22,NA,0,0,0
38,1,6:16,hit,San Jose Sharks,Chris Tierney hit Ben Lovejoy,Chris Tierney,Ben Lovejoy,NA,98,-25,NA,0,0,0
39,1,6:28,takeaway,San Jose Sharks,Takeaway by Paul Martin,Paul Martin,NA,NA,22,-8,NA,0,0,0
40,1,6:34,takeaway,San Jose Sharks,Takeaway by Matt Nieto,Matt Nieto,NA,NA,31,38,NA,0,0,0
